travelCode,userCode,from,to,flightType,price,time,distance,agency,date,Weekday,Binaryweekday
102578,1019,Recife,Florianopolis,economic,761.2,1.76,676.53,CloudFy,6/6/2020,Sat,1
79646,775,Aracaju,Florianopolis,firstClass,1515.79,2.1,808.85,CloudFy,12/10/2020,Thu,0
109200,1083,Natal,Florianopolis,firstClass,1554.92,1.84,709.37,Rainbow,4/20/2020,Mon,0
5103,50,Recife,Aracaju,economic,663.23,1.44,555.74,Rainbow,2/7/2021,Sun,1
120662,1196,Florianopolis,Salvador,economic,915.02,2.44,937.77,Rainbow,5/12/2022,Thu,0
30694,292,Aracaju,Salvador,economic,943.36,2.16,830.86,Rainbow,5/21/2020,Thu,0
16477,163,Sao Paulo,Recife,premium,1145.72,1.26,486.52,Rainbow,2/21/2020,Fri,0
20934,206,Recife,Brasilia,firstClass,697.22,0.63,242.21,FlyingDrops,4/18/2020,Sat,1
77697,755,Natal,Recife,firstClass,806.91,0.58,222.67,Rainbow,9/23/2021,Thu,0
124707,1231,Rio de Janeiro,Florianopolis,premium,708.27,1.21,466.3,CloudFy,8/29/2021,Sun,1
4302,43,Rio de Janeiro,Brasilia,premium,435.67,0.48,183.37,Rainbow,6/26/2020,Fri,0
61057,593,Sao Paulo,Campo Grande,firstClass,668.19,0.44,168.22,FlyingDrops,5/4/2020,Mon,0
131046,1289,Rio de Janeiro,Florianopolis,premium,672.66,1.21,466.3,Rainbow,6/28/2020,Sun,1
27094,260,Sao Paulo,Aracaju,premium,906.59,1.02,392.76,CloudFy,8/6/2022,Sat,1
10640,106,Salvador,Brasilia,economic,609.83,1.76,676.56,Rainbow,4/29/2022,Fri,0
112395,1113,Florianopolis,Recife,economic,674.52,1.76,676.53,CloudFy,1/7/2021,Thu,0
73055,710,Aracaju,Salvador,premium,1288.79,2.16,830.86,CloudFy,1/30/2020,Thu,0
53376,516,Campo Grande,Recife,firstClass,1244.73,1.39,535.4,CloudFy,3/18/2021,Thu,0
5695,56,Aracaju,Salvador,economic,943.36,2.16,830.86,Rainbow,1/13/2022,Thu,0
58461,571,Florianopolis,Campo Grande,firstClass,930.34,1.49,573.81,FlyingDrops,10/4/2019,Fri,0
4034,40,Brasilia,Salvador,premium,1268.97,1.76,676.56,Rainbow,3/24/2022,Thu,0
21363,209,Salvador,Recife,firstClass,1440.25,2.05,788.55,Rainbow,2/19/2021,Fri,0
108614,1078,Florianopolis,Salvador,premium,1367.88,2.44,937.77,Rainbow,2/20/2020,Thu,0
60178,583,Campo Grande,Salvador,firstClass,1052.6,1.36,522.34,FlyingDrops,4/2/2020,Thu,0
128455,1266,Florianopolis,Rio de Janeiro,firstClass,624.89,1.21,466.3,FlyingDrops,1/16/2020,Thu,0
81932,797,Natal,Aracaju,economic,301.61,0.46,176.33,Rainbow,10/8/2020,Thu,0
70979,688,Sao Paulo,Aracaju,premium,906.59,1.02,392.76,CloudFy,2/20/2020,Thu,0
42380,412,Sao Paulo,Recife,economic,829.91,1.26,486.52,CloudFy,12/24/2022,Sat,1
38921,372,Brasilia,Florianopolis,premium,1189.32,1.66,637.56,CloudFy,4/28/2022,Thu,0
126830,1253,Recife,Florianopolis,firstClass,1434.38,1.76,676.53,FlyingDrops,1/8/2023,Sun,1
108572,1077,Florianopolis,Campo Grande,economic,478.02,1.49,573.81,CloudFy,12/10/2020,Thu,0
29326,280,Rio de Janeiro,Recife,economic,952.83,2.3,885.57,CloudFy,3/20/2021,Sat,1
24923,242,Recife,Brasilia,firstClass,697.22,0.63,242.21,FlyingDrops,5/17/2020,Sun,1
40721,391,Recife,Sao Paulo,economic,513.06,1.26,486.52,CloudFy,12/9/2021,Thu,0
71508,693,Natal,Sao Paulo,premium,879.87,0.85,327.55,Rainbow,10/13/2022,Thu,0
131210,1290,Florianopolis,Aracaju,premium,1149.53,2.1,808.85,CloudFy,11/18/2021,Thu,0
76692,745,Rio de Janeiro,Aracaju,firstClass,1386.46,1.55,597.61,Rainbow,8/30/2021,Mon,0
9668,96,Brasilia,Aracaju,firstClass,1287.52,1.11,425.98,FlyingDrops,10/24/2020,Sat,1
59162,574,Florianopolis,Campo Grande,firstClass,930.34,1.49,573.81,FlyingDrops,3/28/2022,Mon,0
108885,1080,Florianopolis,Salvador,premium,1367.88,2.44,937.77,Rainbow,2/6/2020,Thu,0
68458,663,Brasilia,Natal,firstClass,1434.91,1.43,550.69,Rainbow,1/31/2020,Fri,0
124938,1233,Rio de Janeiro,Florianopolis,firstClass,961.99,1.21,466.3,FlyingDrops,1/16/2021,Sat,1
79087,768,Florianopolis,Aracaju,firstClass,1574.28,2.1,808.85,FlyingDrops,4/4/2020,Sat,1
49720,486,Salvador,Campo Grande,firstClass,961.85,1.36,522.34,Rainbow,10/23/2020,Fri,0
45051,440,Recife,Campo Grande,firstClass,1069.12,1.39,535.4,Rainbow,11/12/2020,Thu,0
90974,898,Florianopolis,Campo Grande,premium,697.65,1.49,573.81,CloudFy,5/7/2020,Thu,0
12022,117,Recife,Brasilia,economic,439.38,0.63,242.21,Rainbow,2/20/2021,Sat,1
121350,1203,Florianopolis,Aracaju,economic,879.1,2.1,808.85,CloudFy,4/14/2022,Thu,0
60834,587,Campo Grande,Aracaju,economic,877.56,1.69,650.1,Rainbow,1/20/2022,Thu,0
90002,888,Recife,Florianopolis,firstClass,1354.53,1.76,676.53,CloudFy,3/26/2021,Fri,0
20255,196,Brasilia,Rio de Janeiro,premium,440.69,0.48,183.37,Rainbow,11/21/2019,Thu,0
55715,543,Florianopolis,Campo Grande,economic,544.86,1.49,573.81,Rainbow,10/3/2020,Sat,1
51119,498,Florianopolis,Campo Grande,firstClass,930.34,1.49,573.81,FlyingDrops,11/8/2019,Fri,0
96696,957,Florianopolis,Rio de Janeiro,premium,481.42,1.21,466.3,Rainbow,10/17/2019,Thu,0
132264,1303,Florianopolis,Campo Grande,economic,544.86,1.49,573.81,Rainbow,10/3/2019,Thu,0
50083,488,Sao Paulo,Campo Grande,firstClass,668.19,0.44,168.22,FlyingDrops,3/19/2021,Fri,0
24228,237,Brasilia,Recife,economic,432.1,0.63,242.21,CloudFy,10/29/2020,Thu,0
62719,611,Campo Grande,Florianopolis,premium,1031.59,1.49,573.81,CloudFy,6/9/2022,Thu,0
75287,731,Florianopolis,Aracaju,economic,819.41,2.1,808.85,Rainbow,8/28/2021,Sat,1
92241,909,Florianopolis,Recife,firstClass,1175.62,1.76,676.53,Rainbow,6/24/2021,Thu,0
91521,904,Brasilia,Florianopolis,premium,1189.32,1.66,637.56,CloudFy,11/6/2020,Fri,0
3071,27,Brasilia,Recife,premium,568.38,0.63,242.21,CloudFy,12/31/2020,Thu,0
9177,93,Aracaju,Recife,economic,602.49,1.44,555.74,Rainbow,10/29/2020,Thu,0
100205,996,Florianopolis,Recife,firstClass,1300.6,1.76,676.53,CloudFy,2/27/2020,Thu,0
56806,553,Natal,Campo Grande,firstClass,953.32,0.65,250.68,CloudFy,6/5/2020,Fri,0
93146,919,Florianopolis,Salvador,economic,898.67,2.44,937.77,CloudFy,1/27/2022,Thu,0
18152,180,Recife,Campo Grande,economic,615.59,1.39,535.4,Rainbow,12/19/2019,Thu,0
18296,181,Aracaju,Recife,economic,602.49,1.44,555.74,Rainbow,3/16/2020,Mon,0
135330,1331,Recife,Florianopolis,economic,803.39,1.76,676.53,Rainbow,12/12/2021,Sun,1
72031,700,Sao Paulo,Aracaju,firstClass,1186.15,1.02,392.76,CloudFy,1/22/2021,Fri,0
96613,956,Florianopolis,Rio de Janeiro,economic,313.62,1.21,466.3,CloudFy,4/9/2020,Thu,0
91085,898,Florianopolis,Brasilia,firstClass,1097.17,1.66,637.56,FlyingDrops,6/23/2022,Thu,0
132299,1303,Florianopolis,Campo Grande,firstClass,949.58,1.49,573.81,CloudFy,6/4/2020,Thu,0
36402,347,Salvador,Brasilia,firstClass,1032.4,1.76,676.56,CloudFy,2/29/2020,Sat,1
47535,461,Salvador,Campo Grande,firstClass,904.66,1.36,522.34,CloudFy,10/23/2020,Fri,0
19317,189,Florianopolis,Aracaju,premium,1248.7,2.1,808.85,Rainbow,4/18/2020,Sat,1
95541,943,Sao Paulo,Florianopolis,economic,947.95,1.46,562.14,CloudFy,1/25/2020,Sat,1
65175,634,Brasilia,Campo Grande,economic,629.54,0.72,277.7,Rainbow,7/3/2020,Fri,0
62537,610,Campo Grande,Aracaju,premium,1146.95,1.69,650.1,Rainbow,1/30/2020,Thu,0
33209,320,Brasilia,Campo Grande,premium,851.15,0.72,277.7,Rainbow,7/16/2020,Thu,0
6946,67,Campo Grande,Aracaju,premium,1146.95,1.69,650.1,Rainbow,11/1/2020,Sun,1
80380,782,Natal,Aracaju,firstClass,576.66,0.46,176.33,CloudFy,5/31/2020,Sun,1
